"Model","power consumption"
"E10000","13456W"
"E220R","610W"
"E250","343W"
"E3500","875W"
"E420R","610W"
"E450","1664W"
"E4500","1370W"
"E5500","3500W"
"E6500","3500W"
"XAX2-4","2060W"
"XAX3-4","2060W"
"XAX4-4","2000W"
"XAX5-4","2000W"
"XAT5-8","3000W"
"M10IOU",""
"M10-4","2765W"
"M10-4S","2765W"
"N1280R2","3300W"
"N1290","1600W"
"N210",":400W"
"N240","550W"
"N240R2","550W"
"N440R2","1040W"
"N440","1040W"
"NE1","189W"
"NS7-2","1200W"
"NX3-2","660W"
"NX4270M3","660W"
"NX5-2","1200W"
"NT4-2",""
"NstD130","150W"
"Nt1100-105","108W"
"NT1AC200-DC200","98W"
"NT2000","550W"
"NT3-1","1200W"
"NT5220","660W"
"NX1","81W"
"NX4200M2","500W"
"NX4250","650W"
"NX4270","660W"
"NX4450","658W"
"ASGX3-2","600W"
"ASGX4-2","600W"
"ASGX5-2",""
"DA","1200W"
"DAX3-2","600W"
"DAX4-2","600W"
"DAX5-2","600W"
"DAX6-2M",""
"DAX6-2SS",""
"X5-2",""
"X5-2L",""
"X5-4","2000W"
"X5-8","3400W"
"X6-2",""
"X6-2L",""
"ZFSBAX4-4","2000W"
"ZS4-4X4-4","2000W"
"ZS3-2","760W"
"ZS3-4","2000W"
"ZS3-BA","2000W"
"M7-16","3000W"
"M7-8","10400W"
"S7-2","1200W"
"S7-2L","1200W"
"T3-1","1200W"
"T3-2","2175W"
"T3-4","2060W"
"T4-1","1200W"
"T4-2","2060W"
"T4-4","2060W"
"T5-2","2060W"
"T5-4","3000W"
"T5-8","3000W"
"T7-2","2000W"
"T7-4","3000W"
"B100","200W"
"B1000","670W"
"B150","250W"
"B1500S","420W"
"B1500","350W"
"B2000","670W"
"B2500S",""
"B2500",""
"B6000",""
"B8000",""
"B8000P",""
"E25K","12965W"
"E15K","12965W"
"E280R","810W"
"E3800","2280W"
"E4800-4810","3040W"
"E6800","6460W"
"B1600","650W"
"E2900R2","3300W"
"E2900","3300W"
"T1000","300W"
"T2000R2","450W"
"T2000","550W"
"V100","81W"
"V120","98W"
"N120","98W"
"V1280R2","3300W"
"V1280","3300W"
"N1280","3300W"
"V20z","465W"
"V250","460W"
"V40zR2",""
"V40z",""
"V440","650W"
"V445","557W"
"V480","1100W"
"V490","1100W"
"V60x","350W"
"V65x","500W"
"V880-V880z","2880W"
"V880","2880W"
"V890","2880W"
"X2100R2","300W"
"X2100","300W"
"X2100M2","345W"
"X2200M2","450W"
"X2250","500W"
"X2270M2","600W"
"X2270","600W"
"X4100R2","550W"
"X4100","550W"
"X4100M2","550W"
"X4140","658W"
"X4150","650W"
"X4170","760W"
"X4170M2","760W"
"X4200R2","550W"
"X4200","550W"
"X4200M2","550W"
"X4240","1050W"
"X4250","1050W"
"X4270M2","1200W"
"X4270","1050W"
"X4275","1050W"
"X4370M2","1200W"
"X4440","1050W"
"X4450","1050W"
"X4470","2000W"
"X4500","1800W"
"X4540","1800W"
"X4600","120W"
"X4600M2","950W"
"X4640","1133W"
"X4800",""
"W1100z","550W"
"W2100z","550W"
"N6000",""
"NT5440","658W"
"X2-4","2060W"
"X4470M2","2060W"
"X2-8",""
"X4800M2",""
"X3-2","600W"
"X4170M3","600W"
"X3-2L","1000W"
"X4270M3","1000W"
"X4-2","600W"
"X4-2L","1000W"
"X4-4","2000W"
"X4-8","3400W"
"T5120","641W"
"T5140","720W"
"T5220","795W"
"T5240","1100W"
"T5440","1133W"
"U20M2","400W"
"U20R2","400W"
"U20","400W"
"U24","530W"
"U25","1000W"
"U27","530W"
"U40","1000W"
"U45","1000W"
"BA","2000W"
"Z7120","1200W"
"Z7420","2000W"
"Z7320","760W"
"U10","380W"
"U2","350W"
"U30","300W"
"U5","286W"
"U60","350W"
"U80","380W"
